"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.751730959446093,0.995742506811989,-0.213551767220496,-0.891391112330356,3039,157,"IDH3A;CAT;RETSAT;CHCHD10;PRDX3;TOB1;PTCD3;SLC19A1;MRAP;IDH1;FZD4;APLP2;PLIN2;CRAT;NDUFS3;DHCR7;SLC27A1;DNAJC15;LTC4S;RMDN3;RAB34;GBE1;SLC25A10;ACAA2;DBT;SORBS1;UCP2;ATL2;DDT;VEGFB;MGST3;POR;NABP1;ANGPT1;BCKDHA;GRPEL1;PHYH;COX7B;ETFB;ARL4A;PFKL;CD302;CYP4B1;PTGER3"
"HALLMARK_ALLOGRAFT_REJECTION",0.533300198807157,0.995742506811989,-0.231420421804276,-0.96609309110409,2145,158,"GBP2;EIF3D;HLA-A;CCL13;TAP1;PF4;EIF4G3;GZMB;PTPN6;FAS;CD7;IL2;HIF1A;UBE2D1;CCND3;RPL39;CD74;RPL3L;IL15;MAP3K7;HLA-DRA;CD80;STAT4;TAPBP;GALNT1;BCL3;CCL19;CD8A;C2;AARS1;CXCR3;FCGR2B;HLA-DOB"
"HALLMARK_ANDROGEN_RESPONSE",0.627621965590384,0.995742506811989,-0.247913365205045,-0.91698770126911,2662,72,"TSC22D1;MAK;PMEPA1;TMPRSS2;GNAI3;CCND1;CCND3;SLC38A2;RRP12;NGLY1;RPS6KA3;VAPA;ABCC4;PGM3;BMPR1B;GSR;SRF;ELOVL5;HOMER2;LMAN1;DBI"
"HALLMARK_ANGIOGENESIS",0.922729326705829,0.995742506811989,-0.228765914001489,-0.679783697111935,4083,26,"PF4;OLR1;APP;VTN;FGFR1;SLCO2A1"
"HALLMARK_APICAL_JUNCTION",0.0290627270525551,0.726568176313877,-0.34300086681262,-1.35961608300146,119,110,"ITGB1;BAIAP2;MMP2;CLDN18;GNAI1;AKT3;ICAM4;MPZL1;GNAI2;CLDN19;TNFRSF11B;SIRPA;PALS1;SGCE;CRAT;TIAL1;CDH6;PARVA;SYK"
"HALLMARK_APICAL_SURFACE",0.710484780157835,0.995742506811989,-0.285759940747167,-0.832081273959602,3150,24,"HSPB1;PLAUR;APP;SLC22A12;RHCG;DCBLD2;AFAP1L2"
"HALLMARK_APOPTOSIS",0.392769907181241,0.935166445669621,-0.252409232386604,-1.02399423183141,1607,127,"SOD2;BTG3;LMNA;MMP2;AVPR1A;HSPB1;HGF;RETSAT;DIABLO;TAP1;FAS;BCAP31;CCND1;APP;CASP8;DDIT3;GNA15"
"HALLMARK_BILE_ACID_METABOLISM",0.724660127344691,0.995742506811989,0.24035501368268,0.871555734414937,4210,79,"TTR;HAO1;ACSL5;GNPAT;SULT2B1;PEX11A;CYP39A1;APOA1;HSD17B11;HSD17B6;HSD3B7;PEX26;PEX12;NR1I2;SCP2;CH25H;GCLM;SOD1;KLF1;ALDH9A1;RXRG;CYP8B1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.21256374594344,0.935166445669621,-0.326073765298783,-1.15215139054577,916,57,"GNAI1;AVPR1A;ANTXR2;PLAUR;GUSB;ALDOC;FBXO6;FDFT1;PLSCR1;DHCR7"
"HALLMARK_COAGULATION",0.950325453922576,0.995742506811989,0.199880197049223,0.752785374172554,5547,101,"CTSK;FYN;GDA;APOC2;KLK8;WDR1;APOA1;RAC1;CTSB;MMP14;GNB2;ISCU;LGMN;P2RY1;APOC1;CTSE;THBD;ANXA1;F2RL2;SIRT2"
"HALLMARK_COMPLEMENT",0.297423887587822,0.935166445669621,0.269934472799007,1.07231306822208,1777,141,"CDH13;FCER1G;CDK5R1;FYN;CA2;HSPA5;SRC;SCG3;CALM3;KCNIP2;PFN1;TIMP2;GATA3;LGALS3;CASP1;CTSB;MMP14;IRF2;GNB2;CXCL1;GMFB;LGMN;RNF4;USP15;APOC1;SPOCK2"
"HALLMARK_DNA_REPAIR",0.946689303904924,0.995742506811989,0.197156801649558,0.763056172947103,5575,120,"RPA3;POLR2I;POLD3;SDCBP;NUDT9;MPG;POLR2C;POLB;NELFB;AK1;NELFE;POLR1C;POLR1H;ERCC1;CANT1;VPS28;ADA;ZWINT;SSRP1;NME4;RFC5;GTF2H5;MRPL40;ERCC3;RFC4;POLR2F;POM121;EDF1;NCBP2;GMPR2;DGCR8;HPRT1;APRT;POLL;VPS37B;POLA2;COX17;GTF2H3;POLR2H;LIG1"
"HALLMARK_E2F_TARGETS",0.974806684958843,0.995742506811989,-0.184083565704676,-0.763358518377059,3907,152,"EED;LMNB1;UBE2T;ORC6;DDX39A;ZW10;PAICS;DCTPP1;MLH1;KIF2C;SNRPB;PMS2;USP1;SPC25;MCM7;WDR90;LBR;PTTG1;TP53;ASF1A;POLD1;AURKB"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0955398488910553,0.935166445669621,-0.302450774536596,-1.2238198361025,391,124,"ITGB1;PLOD2;MMP2;PMEPA1;NT5E;PLAUR;ACTA2;PRSS2;ELN;FAS;CXCL8;SERPINH1;TNFRSF11B;BDNF;SERPINE2;FMOD;MCM7;IL15;AREG;CDH6;ENO2;ABI3BP;LOXL1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.366766467065868,0.935166445669621,-0.249090160597214,-1.03122227043097,1469,150,"MICB;RHOBTB3;SLC39A6;ESRP2;P2RY2;SYBU;MPPED2;PDZK1;ALDH3B1;TOB1;DLC1;SLC27A2;XBP1;RETREG1;ASB13;CCND1;AKAP1;RBBP8;DEPTOR;UGCG;FDFT1;DHCR7;CALCR;RRP12;SNX24;SLC37A1;AREG;STC2;TGIF2;DYNLT3;FCMR"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.444554701066733,0.995742506811989,-0.239955536024263,-0.998978927135145,1791,155,"LSR;BTG3;ASS1;MOCS2;MICB;CPE;IDH2;PDZK1;ALDH3B1;TOB1;PTPN6;SLC27A2;XBP1;CCND1;GPER1;RBBP8;GALE;FDFT1;CKB;DHCR7;CALCR;PRLR;BATF;AREG;DYNLT3"
"HALLMARK_FATTY_ACID_METABOLISM",0.676619433198381,0.995742506811989,0.231453769269872,0.907939166620165,4010,131,"ACSL5;NCAPH2;H2AZ1;CA2;APEX1;ALDH3A2;CBR3;D2HGDH;LGALS1;PCBD1;SMS;PPARA;CPT1A;HSD17B11;PSME1;UBE2L6;MAOA;VNN1;GABARAPL1;PTPRG;HSPH1;ODC1;HSD17B10;ACSS1;ADIPOR2;ETFDH;ACOT8;NTHL1;ECH1;EHHADH;ALDH9A1;ME1;EPHX1;ACADS;HPGD;BCKDHB;FASN;ERP29;S100A10;CYP4A11"
"HALLMARK_G2M_CHECKPOINT",0.318594485541358,0.935166445669621,0.270095895937765,1.06339668917364,1894,134,"MYC;EWSR1;H2AZ1;H2BC12;SYNCRIP;SRSF2;E2F2;ILF3;NOLC1;DTYMK;NCL;MCM5;KPNA2;SNRPD1;FANCC;HMGA1;PRC1;POLE;H2AZ2;DMD;TGFB1;KATNA1;HNRNPD;DR1;UBE2C;KPNB1;LIG3;ODC1;CDC6;TFDP1;SRSF10;JPT1;PLK4;MNAT1;MAPK14;PDS5B;CCNF;NUSAP1;CUL3;PRIM2;H2AX"
"HALLMARK_GLYCOLYSIS",0.380208333333333,0.935166445669621,-0.249344994774945,-1.02687680079461,1532,144,"PLOD2;PAXIP1;NOL3;NT5E;GUSB;LDHA;PFKFB1;GOT1;EXT2;IDH1;SDC2;GCLC;GALE;FUT8;FAM162A;PFKP;UGP2;NDUFV3;SLC25A10;STC2;ENO2;PGAM2;PDK3;TGFBI;CHST12;MED24;NASP;HAX1;ALDH7A1;P4HA1;DPYSL4;HOMER1;HS2ST1;LHX9;SLC35A3;SRD5A3;CXCR4;PPIA;GAPDHS;CHPF2;IL13RA1"
"HALLMARK_HEDGEHOG_SIGNALING",0.634093766840309,0.995742506811989,0.309587958425397,0.883469552266524,3529,24,"CDK5R1;NRCAM;RTN1;CRMP1;AMOT;TLE1"
"HALLMARK_HEME_METABOLISM",0.379212545879213,0.935166445669621,0.257834281233131,1.0316040542182,2272,150,"ATP6V0A1;MOCOS;PRDX2;CA2;TMCC2;E2F2;SDCBP;UBAC1;ARL2BP;MXI1;RBM38;KHNYN;KLF3;ALAS2;RAD23A;MBOAT2;GYPE;RNF19A;CTSB;SLC66A2;GLRX5;GYPC;HAGH;HDGF;TENT5C;CROCCP2;MAP2K3;USP15;CTSE;DAAM1;GYPB;SLC10A3;MARCHF2;H1-0;GCLM;ELL2;ADD1;EIF2AK1;KLF1;ADIPOR1;MARCHF8;ACP5;RHAG;GATA1;TFDP2;SLC25A38;HMBS;NNT;RBM5;CCDC28A;NCOA4;HEBP1;ASNS;CDR2;DCUN1D1;UROD;KAT2B;TCEA1"
"HALLMARK_HYPOXIA",0.176627712854758,0.935166445669621,0.287148733275754,1.14631142101826,1057,148,"MT1E;LXN;VHL;PFKFB3;FBP1;HSPA5;CHST3;ISG20;ENO1;SULT2B1;TPI1;CAVIN3;CCN5;MXI1;CAVIN1;ATF3;ZFP36;ILVBL;CA12;HK1;IGFBP3;CDKN1A;ANXA2;CSRP2;CAV1;SLC2A5;HMOX1;ANGPTL4;FOS"
"HALLMARK_IL2_STAT5_SIGNALING",0.991276171485543,0.995742506811989,-0.172947100513675,-0.7150050308853,3976,148,"NT5E;IL10RA;CST7;SNX14;TNFRSF1B;TTC39B;XBP1;MAP3K8;CD48;PLIN2;FGL2;PRNP;TNFRSF18;PLSCR1;PTCH1;CCND3;CD79B;BATF;EEF1AKMT1;IL3RA"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.384162149422578,0.935166445669621,-0.278983297389947,-1.03190988656258,1629,72,"IL1R1;PF4;TNFRSF1B;FAS;MAP3K8;IRF9;CXCL11;SOCS3;PTPN1;IL3RA;PIM1;HAX1;IRF1;MYD88;INHBE;IL7;IL13RA1;IFNAR1;CXCL13;LTB"
"HALLMARK_INFLAMMATORY_RESPONSE",0.895127380657927,0.995742506811989,-0.199844470775321,-0.833153393277281,3618,156,"ICAM4;IL1R1;P2RY2;IL10RA;BEST1;PLAUR;TNFRSF1B;SGMS2;CXCL8;OLR1;GNAI3;HRH1;CD55;SLC4A4;CD48;CXCL11;CCL20;HIF1A;GNA15;IL15;GPR183;NFKBIA;TAPBP;PTGER4;BDKRB1;DCBLD2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.7568599379623,0.995742506811989,-0.229413556739517,-0.863148410569024,3171,79,"TRIM21;GBP2;TAP1;TRIM5;IRF9;CXCL11;CASP8;PLSCR1;IFI30;CD74;IL15;IFI44;TXNIP;PSMA3;PNPT1;IRF1;BATF2;IFIT3;C1S;IL7;TMEM140;PSME2;IFI44L"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.22128294380905,0.935166445669621,-0.266761932180955,-1.10940210963862,889,154,"TRIM21;SOD2;HLA-A;IL10RA;PELI1;TAP1;VAMP5;CFB;PTPN6;FAS;ZBP1;IFIT1;IRF9;CXCL11;SOCS3;CASP8;PTPN1;FGL2;HIF1A;PLSCR1;PFKP;IFI30;CD74;IL15;NOD1;STAT4;NFKBIA;TAPBP;IFI44;TXNIP;PIM1;PSMA3;PNPT1;VCAM1;IRF1;BATF2;ICAM1;MTHFD2;MYD88;IFIT3;SECTM1;ARL4A;BPGM;C1S"
"HALLMARK_KRAS_SIGNALING_DN",0.754153950491692,0.995742506811989,0.226802632389343,0.876063390648855,4447,118,"CAMK1D;ASB7;PDK2;NR6A1;KLK8;CALML5;CLDN16;ATP6V1B1;SNCB;CYP39A1;CPA2;SELENOP;LFNG;TENT5C;CLDN8;FGF16;HTR1D;HSD11B2;ZC2HC1C;GDNF;NR4A2;VPS50;CD40LG;NTF3;SPRR3"
"HALLMARK_KRAS_SIGNALING_UP",0.916500498504487,0.995742506811989,-0.197596940635676,-0.816913415850419,3676,148,"BTC;F13A1;CPE;BTBD3;IL10RA;PLAUR;GABRA3;CFB;MAFB;LCP1;TNFRSF1B;PRDM1;CDADC1"
"HALLMARK_MITOTIC_SPINDLE",0.995742506811989,0.995742506811989,0.172368193531811,0.644571640657333,5846,95,"MID1;LATS1;FSCN1;BCL2L11;CEP57;AKAP13;PRC1;KATNA1;CTTN;TUBGCP3;BIN1;STAU1;KIF3B;PXN;NCK2;CEP250;NUSAP1;ATG4B;CSNK1D;TUBGCP2"
"HALLMARK_MTORC1_SIGNALING",0.991545092838196,0.995742506811989,0.176574354603612,0.71668181697875,5980,166,"EIF2S2;ARPC5L;ATP6V1D;HSPA5;NFYC;ENO1;NUPR1;TPI1;SRD5A1;CACYBP;UBE2D3;SHMT2;WARS1;STARD4;EBP;TMEM97;TOMM40;PSPH;CDKN1A;NHERF1;IGFBP5;LGMN;MAP2K3;HMGCR;RRP9"
"HALLMARK_MYC_TARGETS_V1",0.194462864721485,0.935166445669621,0.277635715545679,1.12687071416544,1172,166,"MYC;CNBP;RPL14;EIF2S2;H2AZ1;PSMD3;NDUFAB1;SYNCRIP;ERH;APEX1;UBE2L3;SRSF2;NOLC1;RPL6;MCM5;EIF4E;PSMA2;KPNA2;NPM1;SNRPD1;ACP1;UBE2E1;XPOT;NCBP1;HNRNPD;AP3S1;KPNB1;HDGF;CCT7;ODC1;RPS6;RRP9;SNRPG;TFDP1;PSMA6;NOP56;SERBP1;RPS2;RFC4;RPL34;CCT2;LSM7;GOT2;POLE3;HNRNPC;DDX21;NCBP2;HPRT1;NOP16;EIF3J;RPS5;PSMB3;HDDC2;EIF1AX;PHB2;HNRNPU;SRSF3;GNL3;HNRNPA1;PPM1G;RUVBL2;EIF2S1;RPL18;PWP1"
"HALLMARK_MYC_TARGETS_V2",0.695930335880576,0.995742506811989,0.266798461272007,0.866946914305116,3915,44,"MYC;PUS1;NOLC1;MCM5;NPM1;TMEM97;RRP9;TFB2M;NOP56;PLK4"
