"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.325379992930364,0.89017627659298,-0.449707371331132,-1.11493223357716,1840,15,"DLD;PHYH;IDH1;ADHFE1"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.722879177377892,0.961877491197026,-0.309196695897789,-0.820263242764243,4217,20,"TIRAP;BOLL"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.0692723782934915,0.669689579937113,-0.557501045082212,-1.44065178070516,396,18,"PDK4;DLD;DLAT;ACAT1;BCKDK;PDHB"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.0873015873015873,0.698620065603438,-0.477228374888868,-1.36922303161774,516,29,"PDK4;PMVK;DLD;TDO2;DLAT;PIPOX;ACAT1;BCKDK;PDHB;MVK"
"GOBP_ACID_SECRETION",0.721200387221684,0.961877491197026,0.282795142779738,0.834501182172412,2979,25,"BEST1;P2RX7;PTGER3;CHRM5;TNF;NHERF1"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.410465422035235,0.911658081092435,0.300787896678286,1.02353489767818,1560,47,"BEST1;KMO;P2RX7;EPM2A;GRM2;NTRK2;TTYH1;SLC7A14;SNCA;GNAT2;KCNK2;TNF;NHERF1"
"GOBP_ACROSOME_ASSEMBLY",0.709583736689255,0.961201445688497,0.285341808573022,0.842016147225221,2931,25,"ZPBP2;PDCL2;PAFAH1B1;RFX2;NECTIN2;AGFG1"
"GOBP_ACROSOME_REACTION",0.530874785591767,0.942144439275894,-0.346999285887446,-0.947535544809416,3094,23,"GLRA1;ZP2;PLB1;PRND;SERPINA10;GLRB"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.843587726199843,0.97677777392652,-0.235866243692558,-0.788077895668092,5360,65,"SGCD;CAMK2D;NOS1AP;KCNJ3;SHTN1;CAV3;TNNC1;MYO1D;KCNE3;SCN3B;KCNE5;KCNJ8;GJA5;EPDR1;KCNE4;TPM1;LUZP1;ACTA2"
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",0.896966227819119,0.983974747456623,0.191433307780918,0.900659105244082,1566,486,"RHOJ;PDLIM4;AMOTL2;RND2;RGS4;CDC42EP3;AP1AR;EPB41L4A;CTNNA3;VIL1;TBCK;BBS4;HRAS;QKI;PLA2G1B;ARPC5L;POTEE;KRAS;IQSEC1;PIK3R1;ABI2;CALD1;ODAM;PAFAH1B1;NEDD9;MYL1;TACR1;PARVA;DMTN;COTL1;EPHA3;CAPN3;CCL26;FGF12;CAVIN3;DIXDC1;TAGLN2;SH3GL2;PHACTR2;ATXN3;HCLS1;ZBED3;ARPIN;CNN2;AMOTL1;FAM107A;EDN1;CCL21;DBNL;JUP;CDK5;NF2;SNX9;PFN1;PDGFA;RNH1;ADD1;BCL2;NUAK2;KASH5;SDCBP;PAK1;NHERF1;ARF6;PDLIM3;CTTN;CCDC88C;WASH3P;TRIM32;AIF1L;ABRACL;PHACTR1;CDC42;AGAP2;TNNT2;MYL2;DSTN;MYL6;GMFB;KLHL17;PDLIM7;ANLN;ATP1A2;PHPT1;CYRIB;MYO1H;TMOD4;RUFY3;BRSK2;MRAS;RAPGEF3;SWAP70;RHOBTB1;CRK;PPM1F;USH1C;PDLIM5;CAPN10;CDC42EP1;SNTA1;SUMO1;EPB41L1;RAN;ECT2;SMAD3;MYO3A;ADD2;TMOD2;ELN;TMSB4Y;TNNI3;TMSB10;TCAP;BIN1;CDC42EP2;CDC42EP4;ARAP1;FSCN3;ESAM;RGCC;TYROBP;WASL;DNAJB6;NCK2;S100A10"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.928750923872875,0.983974747456623,-0.208466944776637,-0.755817877250377,6282,109,"ASAP3;CUL3;FHOD1;SHTN1;SORBS3;F11R;PLS3;WNT4;BAIAP2;ARRB1;DLC1;CORO1B;DIAPH3;EZR;STMN1;MKKS;AIF1;TMEFF2;CLASP2;LPAR1;ARHGEF10;TPM1;LUZP1;DNM2;RHPN2;HSP90B1;AMOT;RFLNB"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.651637960148598,0.961201445688497,-0.305223138053525,-0.875720247151793,3858,29,"WDR1;LMOD1"
"GOBP_ACTIN_FILAMENT_ORGANIZATION",0.985768103809125,0.996162136549244,0.180354750093751,0.806237894625028,2354,279,"RHOJ;RND2;RGS4;CDC42EP3;AP1AR;VIL1;BBS4;PLA2G1B;ARPC5L;PIK3R1;ABI2;CALD1;NEDD9;TACR1;DMTN;COTL1;CCL26;TAGLN2;HCLS1;ZBED3;ARPIN;CNN2;FAM107A;CCL21;NF2;SNX9;PFN1;RNH1;ADD1;BCL2;KASH5;PAK1;ARF6;PDLIM3;CTTN;WASH3P;AIF1L;PHACTR1;CDC42;DSTN;GMFB;CYRIB;MYO1H;TMOD4;RUFY3;RAPGEF3;SWAP70;RHOBTB1;PPM1F;USH1C;CDC42EP1;SMAD3;ADD2;TMOD2;ELN;TMSB4Y;TMSB10;TCAP;BIN1;CDC42EP2;CDC42EP4;ARAP1;FSCN3;ESAM;RGCC;WASL;NCK2;S100A10;ARHGEF5;ARPC1B;VASP;CFL1;EVL;TAC1;PYCARD;GMFG;RHOBTB2;MYL9;INPP5K;ZEB2"
"GOBP_ACTIN_FILAMENT_POLYMERIZATION",0.437609841827768,0.917855657304672,0.25963732420533,1.00326730189688,1493,92,"CDC42EP3;VIL1;BBS4;ARPC5L;DMTN;COTL1;CCL26;HCLS1;FAM107A;CCL21;SNX9;PFN1;ADD1;ARF6;CTTN;CYRIB;TMOD4;CDC42EP1;ADD2;TMOD2;ELN;BIN1;CDC42EP2;CDC42EP4;ESAM;WASL;NCK2;VASP;CFL1;EVL;PYCARD;ARPC5;CAPZA3;SCIN;ARPC4;ABITRAM;PRKCD"
"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",0.807265228426396,0.964587939687997,-0.246979688054915,-0.807349821030081,5088,57,"SGCD;CAMK2D;NOS1AP;KCNJ3;SHTN1;CAV3;TNNC1;KCNE3;SCN3B;KCNE5;KCNJ8;GJA5;EPDR1;KCNE4;TPM1;LUZP1;ACTA2"
"GOBP_ACTIN_NUCLEATION",0.784215784215784,0.964587939687997,-0.266777708621078,-0.798066771603241,4709,36,"CTNNA2;FCHSD2;LMOD1;WASHC3;TRIM27;CORO1B;DIAPH3"
"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",0.724691358024691,0.961877491197026,0.224539598588313,0.892836406296527,2347,110,"CDC42EP3;VIL1;BBS4;ARPC5L;ABI2;DMTN;COTL1;CCL26;HCLS1;FAM107A;CCL21;SNX9;PFN1;ADD1;ARF6;CTTN;DSTN;CYRIB;TMOD4;SWAP70;CDC42EP1;ADD2;TMOD2;ELN;TMSB4Y;BIN1;CDC42EP2;CDC42EP4;ESAM;WASL;NCK2;VASP;CFL1;EVL;PYCARD"
"GOBP_ACTION_POTENTIAL",0.714677640603567,0.961201445688497,-0.247264925186674,-0.872168311601971,4688,91,"GLRA1;CAMK2D;NOS1AP;KCNG4;KCNJ3;CAV3;CLCN2;KCNMB2;KCND1;DRD1;KCNE3;NDP;KCNJ11;SCN3B;GNA11;KCNE5;KCNS1;KCNMB4;KCNJ8;GJA5"
"GOBP_ACTIVATED_T_CELL_PROLIFERATION",0.198274403654204,0.795586618980567,-0.413428327188408,-1.20679477027409,1171,32,"PRKAR1A;IDO1;IGFBP2;EPO;ARG1;RIPK3;IL2;BTN2A2;IGF1;CRTAM;LRRC32;FYN"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.625463535228677,0.959404804785554,-0.22657909843422,-0.949574650261523,5059,411,"MAVS;COLEC11;KLRC1;TIRAP;CSNK1A1;RBM14;MARCHF5;HLA-DRB1;HLA-DPB1;TRIM65;TLR2;TOMM70;CD46;ATAT1;IFI16;IRF3;TLR4;CD3D;APPL2;C1QB;TMIGD3;FBXL2;FCER1G;MICB;LRRC14;KLHL6;XRCC5;PPP2CA;DDX60;CSK;HLA-A;CASP6;HMSD;YES1;ITCH;TRAF6;FCN1;NCR3;CFHR3;LETMD1;ZC3HAV1;RNF125;HEXIM1;RNF144A;PUM2;LTF;CLEC7A;TKFC;CMTM3;TRBC2;SLC39A10;PTPN22;KLRC2;MALT1;C8G;EPG5;TRIM15;GRAMD4;LAT2;MASP2;KLRK1;RNF34;PTPRS;EZR;PLD2;ABHD17A;CFI;IFNG;UBR2;TRGC1;SLC39A6;C1QBP;KCNJ8;CYBA;OTULIN;TRIM31;TRIM25;CD8B;NMI;BTN2A2;TRAT1;BTNL9;GBP5;FPR3;CTSS"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.210724365004704,0.797477834305848,-0.280768631448011,-1.11769694165865,1567,232,"MAVS;COLEC11;KLRC1;TIRAP;CSNK1A1;RBM14;MARCHF5;TRIM65;TLR2;TOMM70;ATAT1;IFI16;IRF3;TLR4;APPL2;FBXL2;LRRC14;XRCC5;PPP2CA;DDX60;CASP6;ITCH;TRAF6;FCN1;LETMD1;ZC3HAV1;RNF125;HEXIM1;RNF144A;PUM2;LTF;CLEC7A;TKFC;PTPN22;KLRC2;EPG5;TRIM15;GRAMD4;KLRK1;RNF34;PTPRS"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY",0.809593377160945,0.964587939687997,0.259860365306566,0.780286795202765,3324,27,"STK11;PIBF1;PPIA;MT3;STRADB;STRADA;TOM1L1;ECT2"
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY",0.272388059701493,0.858398760812593,0.356625810817208,1.12788362795877,1094,34,"TGFBR2;DACT2;TGIF2;DMRT1;ACVR2A;ACVR2B;TGIF1;SMAD3;CITED2;ZC3H3;NOG"
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION",0.387998834838334,0.907755607340518,-0.279901711735052,-1.03523776207936,2663,127,"WDR1;ASAP3;AKAP13;CUL3;LMOD1;ANKRD1;PRKAR1A;FHOD1;FRMD5;SORBS3;F11R;CAV3;WNT4;MEF2A;ARRB1;DLC1;PGM5;ACTA1;CSRP2;STMN1;MKKS;TMEFF2;CNN3;CLASP2;LPAR1;ARHGEF10;TPM1;LUZP1;DNM2;RHPN2;MYBPH;AMOT"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.671964203055084,0.961201445688497,-0.258122774083174,-0.886720009736321,4354,77,"SELENOS;FCGR1A;FCER1G;ORM2;EPO;VNN1;RHBDD3;DNASE1L3;AHSG;STAT3;F3;DNASE1;IL20RB;IL1A;FCGR3A;SAA1;BTK"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.476002064338552,0.92860792036332,-0.369356680810657,-0.989531417619804,2766,21,"SELENOS;FCGR1A;FCER1G"
"GOBP_ACUTE_PHASE_RESPONSE",0.967087765957447,0.994279973522969,-0.208111062927154,-0.625854506884825,5817,37,"ORM2;EPO;AHSG;STAT3;IL1A;SAA1;SAA2;IL22;CRP;IL1RN;APOL2;F2;ASS1;SAA4"
"GOBP_ACYL_COA_METABOLIC_PROCESS",0.000311526479750779,0.205423697809485,-0.531660930618361,-1.8030830448691,1,71,"ACSBG1;PDK4;ACSF2;ACSBG2;GPAT4;PMVK;DLD;THEM5;ELOVL5;TDO2;ACSM5;HACD2;DLAT;GCDH;ACSL5;ACOT7;ELOVL4;PIPOX;ACAT1;ELOVL1;BCKDK;ACSL4;PDHB;HACD1;GLYAT;MVK;ABCD1;ELOVL3;PPT1;ACSF3"
"GOBP_ACYLGLYCEROL_HOMEOSTASIS",0.323629306162057,0.887729403352665,0.358725642570944,1.08802522818551,1333,28,"XBP1;C1QTNF3;NR1H3;APOC2"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.00264783759929391,0.332812282088234,-0.337960013960463,-1.40160429241789,20,354,"PAG1;KLRC1;TNFRSF17;LY9;EBAG9;TRAF3IP2;PCYT1A;HMHB1;HLA-DRB1;SLC11A1;HLA-DPB1;TRAF2;CRACR2A;PRKCQ;MR1;PRDM1;CD46;FGA;TLR4;FCGR1A;IL10;CD3D;C1QB;CD80;IFNA10;FCER1G;LILRB2;MICB;MARCHF8;CLEC10A;KLHL6;TNFRSF13C;PRKAA1;CSK;HLA-A;STX7;TRAF6;PDIA3;HFE;ERAP2;RNF125;BCL3;TNFSF13;FBXO38;ARG2;TRGV3;CLEC7A;TRIM27;STAT3;ARG1;CD74;TRBC2;CARD9;FZD5;KLRC2;MALT1;IL18BP;C8G;CD86;IL1R1;HLA-DRA;KLHL22;RIPK3;LILRB1;LAT2;MASP2;KLRK1;IFNW1;IFNA6;SASH3;CLCF1;CFI;IFNG;TRGC1;IL9;TNFSF13B;C1QBP;TGFB1;KCNJ8;IL2;IFNA21;HLA-C;AZGP1;CD8B;PDCD1;RAET1E;IL20RB;IFNA16;TRAT1;ZBTB7B;CTSS;HLA-DQB2"
