"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.418514808985549,0.721577256871636,-0.266791847158739,-1.01565624051205,2924,157,"G3BP2;MCCC1;REEP6;CIDEA;GPAT4;CCNG2;TALDO1;MRAP;DLD;PEX14;UCK1;RMDN3;ANGPT1;ATL2;ACOX1;LAMA4;UQCRC1;ACADL;JAGN1;CS;ADIPOR2;DLAT;PHYH;SDHC;IDH1;ATP1B3;SLC25A1;DHCR7;TST;MGST3;ADIG;SLC27A1;FAH;PEMT;APOE;ECH1;CYP4B1;TKT;CPT2;TANK"
"HALLMARK_ALLOGRAFT_REJECTION",0.394841835280707,0.721577256871636,-0.269386742254913,-1.0271544132448,2770,158,"FAS;TLR2;TRAF2;DARS1;IGSF6;IL10;CD3D;IFNGR2;EIF3J;CD80;CCL2;TPD52;CSK;HLA-A;CSF1;BCL3;STAT1;CD74;CD86;HLA-DRA;PF4;IL15;IFNG;LIF;IL9;TGFB1;IL2;CARTPT;CD8B;TRAT1;CTSS;LTB;CRTAM;PRF1;EGFR;NME1;CD40;NPM1"
"HALLMARK_ANDROGEN_RESPONSE",0.458404869673794,0.76400811612299,-0.293155605569221,-0.998386557139545,2936,72,"FKBP5;PMEPA1;NCOA4;TSC22D1;XRCC5;ELOVL5;SGK1;TPD52;HOMER2;SPDEF;LMAN1;NGLY1;CCND1;UAP1;CENPN;KLK2;AZGP1"
"HALLMARK_ANGIOGENESIS",0.133943709732113,0.579727156532853,-0.462921735065625,-1.29452285165028,789,26,"THBD;LUM;VTN;PF4;KCNJ8;SPP1;VEGFA;APOH"
"HALLMARK_APICAL_JUNCTION",0.628139183055976,0.81701504364217,0.234118897464064,0.931231887749285,2075,109,"GNAI1;HRAS;GNAI2;COL9A1;ATP1A3;TSPAN4;CLDN14;PARVA;GAMT;CNN2;CRAT;MDK;JUP;NF2;PFN1;NECTIN2;STX4"
"HALLMARK_APICAL_SURFACE",0.362006299975769,0.696165961491864,0.359562745562414,1.05807262682911,1493,24,"SLC22A12;LYPD3;MAL;GATA3;HSPB1;APP;GSTM3;BRCA1;LYN"
"HALLMARK_APOPTOSIS",0.565633982753114,0.81701504364217,0.235898651377047,0.957630685114466,1770,127,"RELA;ATF3;JUN;LGALS3;TXNIP;MGMT;CTNNB1;NEDD9;IFNGR1;BCL2L1;VDAC2;BID;CASP8;CDKN1A;IRF1;TNF;IL1B;ADD1;EMP1;PAK1;DAP;CASP1;BAX;F2R;CDKN1B;HSPB1;APP;BRCA1;SQSTM1;FDXR;ISG20;MMP2;CDC25B"
"HALLMARK_BILE_ACID_METABOLISM",0.343299767621998,0.686599535243997,-0.308412258715272,-1.06603322862821,2215,79,"SOAT2;FADS2;CROT;SERPINA6;SLC23A1;PHYH;ALDH1A1;ACSL5;IDH1;GC;PIPOX;SLC35B2;PEX16;AQP9;PEX11A;NR1I2;ALDH8A1;ABCD1;CYP27A1;ABCA8;NR0B2;DHCR24;CAT;GSTK1;SLC27A2;RETSAT;SCP2;HSD3B1;PEX12;AMACR;CYP46A1;PEX19"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.675358120070819,0.839275004997668,-0.269168706105486,-0.880502932749331,4195,57,"CXCL16;FADS2;FBXO6;AVPR1A;PMVK;ERRFI1;CBS;FDFT1;DHCR7;LGMN;NSDHL;EBP;MVK;HSD17B7;ECH1;PLAUR"
"HALLMARK_COAGULATION",0.117032551097653,0.579727156532853,-0.346069197460051,-1.23998352372145,772,101,"THBD;WDR1;F11;PLAT;FGA;BMP1;CTSV;HNF4A;VWF;ACOX2;DPP4;C8G;PRSS23;F3;MASP2;PF4;LGMN;CFI;DUSP14;F2RL2;GP9;RGN;F9;HRG"
